experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
80,2025-12-01 20:38:39,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,mixed_ml_heavy,"[[0,0,2,0,2]]",[],19533.75,2.5,4,78135.0,24772608,2818048,33226752,0,4,135.31,26854.0,4,16000,0,378,43,0,0.005039
81,2025-12-01 20:38:39,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],4196.928,1.0,1,4196.93,196608,638976,82608,1,0,4.42,4196.93,1,16000,10,3,10,0,0.001053
82,2025-12-01 20:38:40,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,22,0,26,0,0.004199
83,2025-12-01 20:38:41,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],2837.0,1.0,1,2837.0,6750208,1441792,5963776,1,0,1.7,2837.0,1,16000,111,103,22,0,0.0006
84,2025-12-01 20:38:41,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],2431.01,1.0,1,2431.01,262144,1163264,17276,1,0,2.49,2431.01,1,16000,15,4,18,0,0.001024
85,2025-12-01 20:38:42,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],6964.0,1.0,1,6964.0,7536640,2097152,6619136,1,0,9.14,6964.0,1,16000,120,115,32,0,0.001313
86,2025-12-01 20:38:43,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],9361.9876,3.0,5,46809.94,13500416,4210688,17091608,2,3,109.99,18602.0,5,16000,244,206,65,0,0.005913
87,2025-12-01 20:38:44,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],11823.146,3.5,6,70938.88,720896,4423680,3643440,4,2,192.84,22051.0,6,16000,81,11,69,0,0.008745
88,2025-12-01 20:38:46,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],18545.5,2.5,4,74182.0,24444928,3538944,32833536,0,4,85.71,21062.0,4,16000,399,373,54,0,0.00407
89,2025-12-01 20:38:46,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,LL,single_canny,"[[1,0,0,0,0]]",[],4196.928,1.0,1,4196.93,196608,638976,82608,1,0,4.42,4196.93,1,16000,0,3,10,0,0.001053
